symbol	alias	entrezgene
BCL2	BCL-2	596
BCL6	BCL-6	604
CDKN1A	p21	1026
CDKN2A	p16ink4a	1029
ERBB2	HER-2/Neu	2064
ERBB2	HER2/Neu	2064
TP53	p53	7157
FLT3	FLT3-ITD	2322
KRAS	RAS	3845
RAF1	C-Raf	5894
RAF1	c-RAF	5894
KRAS	Kras	3845
KRAS	k-ras	3845
KRAS	K-RAS	3845
NRAS	N-RAS	4893
EGFR	EGFr	1956
BRAF	b-raf	673
BRAF	B-Raf	673
BRAF	B-RAF	673
BRAF	v-Raf	673
BRAF	v-raf	673
KIT	c-Kit	3815
KIT	c-kit	3815
MYC	c-MYC	4609
MTOR	mTOR	2475
RPTOR	RAPTOR	57521
MYCN	N-MYC	4613
ROS1	ROS-1	6098
CD274	B7-H1	29126
MAPK1	ERK	5594
MAPK3	ERK	5595
MAP2K1	MEK	5604
MAP2K2	MEK	5605
PIK3CA	PI3KCA		5290
ERBB2	Her-2	2064
ERBB2	her-2	2064
ERBB2	HER2/NEU	2064
