entrez	symbol	pubmed_id	type	organ_system	primary_site	cancer_type	method	coding_status	cgc_annotation	vogelstein_annotation	saito_annotation	NCG_oncogene	NCG_tsg
23	ABCF1	31444325	WGS-WES	"Hematologic and lymphatic"	blood	multiple_myeloma	dNdScv	coding					
25	ABL1	29625053	Pan-cancer	Multiple	multiple	pan-cancer_adult	PanSoftWare	coding	"oncogene, fusion"	Oncogene		1	0
25	ABL1	14993899	"Canonical Cancer Driver"	Multiple	multiple		-	NA	"oncogene, fusion"	Oncogene		1	0
25	ABL1	29489755	Pan-cancer	Multiple	multiple	pan-cancer_paediatric	"GRIN, MutSig"	coding	"oncogene, fusion"	Oncogene		1	0
25	ABL1	23539594	"Canonical Cancer Driver"	Multiple	multiple		-	NA	"oncogene, fusion"	Oncogene		1	0
27	ABL2	14993899	"Canonical Cancer Driver"	Multiple	multiple		-	NA	"oncogene, fusion"			1	0
48	ACO1	24390350	Pan-cancer	Multiple	multiple	pan-cancer_adult	MutSig	coding					
60	ACTB	30606723	WGS	"Hematologic and lymphatic"	blood	"dlblc, follicular_lymphoma"	Paper-specific	noncoding					
60	ACTB	28128360	WGS	Multiple	multiple	pan-cancer_adult	ExInAtor	coding					
60	ACTB	22343534	WES	"Hematologic and lymphatic"	blood	diffuse_large_B-cell_lymphoma	MutSig	coding					
60	ACTB	29489755	Pan-cancer	Multiple	multiple	pan-cancer_paediatric	"GRIN, MutSig"	coding					
60	ACTB	28988769	WES	Urologic	bladder	bladder_cancer	MutSig	coding					
71	ACTG1	26451490	WES	Gynecologic	breast	breast_cancer	MutSig	coding					
71	ACTG1	31444325	WGS-WES	"Hematologic and lymphatic"	blood	multiple_myeloma	dNdScv	coding					
90	ACVR1	29625053	Pan-cancer	Multiple	multiple	pan-cancer_adult	PanSoftWare	coding	oncogene			1	0
90	ACVR1	24705254	WGS-WES	"Soft tissue"	brain	diffuse_intrinsic_pontine_glioma	Recurrence-based	coding	oncogene			1	0
90	ACVR1	24705250	WES	"Soft tissue"	brain	astrocytoma	Recurrence-based	coding	oncogene			1	0
90	ACVR1	14993899	"Canonical Cancer Driver"	Multiple	multiple		-	NA	oncogene			1	0
90	ACVR1	29489754	Pan-cancer	Multiple	multiple	pan-cancer_paediatric	MuSiC	coding	oncogene			1	0
90	ACVR1	24705252	WGS-WES	"Soft tissue"	brain	diffuse_intrinsic_pontine_glioma	Recurrence-based	coding	oncogene			1	0
90	ACVR1	24705251	WGS-WES	"Soft tissue"	brain	paediatric_high-grade_glioma	Recurrence-based	coding	oncogene			1	0
91	ACVR1B	26909576	WGS	"Developmental gastrointestinal"	pancreas	pancreatic_cancer_(all_histologies)	"HOTNET2, OncodriveFM, MutSig"	coding		TSG		0	1
91	ACVR1B	29625053	Pan-cancer	Multiple	multiple	pan-cancer_adult	PanSoftWare	coding		TSG		0	1
91	ACVR1B	22810696	WES	"Core gastrointestinal"	colorectal	colorectal_adenocarcinoma	MutSig	coding		TSG		0	1
91	ACVR1B	30718927	WGS-WES	"Core gastrointestinal"	esophagus	esophageal_adenocarcinoma	"dNdScv, ActiveDriverWGS, MutSig2CV, OncodriveFM, OncodriveClust, eDriver, eDriver3D"	coding		TSG		0	1
91	ACVR1B	26804919	WES	"Core gastrointestinal"	small_intestine	ampullary_adenocarcinoma	MutSig	coding		TSG		0	1
91	ACVR1B	28667006	"WGS-WES-Gene Panel"	"Developmental gastrointestinal"	hepatobiliary	cholangiocarcinoma	"MutSigCV, IntOGen"	coding		TSG		0	1
91	ACVR1B	20668451	"Gene Panel"	Gynecologic	breast	breast_cancer	Wood-based	coding		TSG		0	1
91	ACVR1B	24132290	Pan-cancer	Multiple	multiple	pan-cancer_adult	MuSiC	coding		TSG		0	1
91	ACVR1B	24390350	Pan-cancer	Multiple	multiple	pan-cancer_adult	MutSig	coding		TSG		0	1
91	ACVR1B	27311963	WGS-WES	Multiple	multiple	pan-cancer_adult	OncodriveFML	coding		TSG		0	1
91	ACVR1B	32025015	WGS	Multiple	multiple	pan-cancer_adult	"ActiveDriverWGS, CompositeDriver, DriverPower, dNdScv, ExInAtor, LARVA, MutSig, NBR, ncdDetect, ncDriver, OncodriveFML, regDriver"	coding		TSG		0	1
91	ACVR1B	23539594	"Canonical Cancer Driver"	Multiple	multiple		-	NA		TSG		0	1
91	ACVR1B	26806338	"WES-Gene Panel"	"Core gastrointestinal"	small_intestine	ampullary_adenocarcinoma	Recurrence-based	coding		TSG		0	1
92	ACVR2A	26909576	WGS	"Developmental gastrointestinal"	pancreas	pancreatic_cancer_(all_histologies)	"HOTNET2, OncodriveFM, MutSig"	coding	TSG			0	1
92	ACVR2A	29625053	Pan-cancer	Multiple	multiple	pan-cancer_adult	PanSoftWare	coding	TSG			0	1
92	ACVR2A	29622464	WES	Gynecologic	"pan-gynecological and breast"	"pan-gynecological and breast"	"MutSigCV, 20/20"	coding	TSG			0	1
92	ACVR2A	22810696	WES	"Core gastrointestinal"	colorectal	colorectal_adenocarcinoma	MutSig	coding	TSG			0	1
92	ACVR2A	30718927	WGS-WES	"Core gastrointestinal"	esophagus	esophageal_adenocarcinoma	"dNdScv, ActiveDriverWGS, MutSig2CV, OncodriveFM, OncodriveClust, eDriver, eDriver3D"	coding	TSG			0	1
92	ACVR2A	27064257	WGS	"Developmental gastrointestinal"	hepatobiliary	"hepatocellular_carcinoma, cholangiocarcinoma"	Literature-based	coding	TSG			0	1
